id,pIC50_mean,pIC50_median,smiles,pic50,assay_desc,assay_chembl_id,target_chembl_id,standard_value,standard_units,standard_type,human_agonists,pIC50
CHEMBL4239055,5.721246399047171,5.721246399047171,CCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.72,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,1900.0,nM,EC50,True,5.721246399047171
CHEMBL4242807,5.494850021680094,5.494850021680094,C[Si](C)(O)c1ccc(N(Cc2ccccc2)S(=O)(=O)c2ccccc2)cc1,5.5,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,3200.0,nM,EC50,True,5.494850021680094
CHEMBL4243206,4.853871964321762,4.853871964321762,C[Si](C)(O)c1ccc(N(CCc2ccccc2)S(=O)(=O)c2ccccc2)cc1,4.85,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,14000.0,nM,EC50,True,4.853871964321762
CHEMBL4243271,5.468521082957745,5.468521082957745,CN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.47,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,3400.0,nM,EC50,True,5.468521082957745
CHEMBL4246995,5.853871964321762,5.853871964321762,COC(=O)CN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.85,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,1400.0,nM,EC50,True,5.853871964321762
CHEMBL4247044,5.187086643357144,5.187086643357144,CCCCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.19,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,6500.0,nM,EC50,True,5.187086643357144
CHEMBL4247454,5.376750709602099,5.376750709602099,COCCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,5.38,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,4200.0,nM,EC50,True,5.376750709602099
CHEMBL4249586,5.619788758288394,5.619788758288394,C[Si](C)(O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,5.62,Agonist activity at VP16-fused human PXR expressed in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4235209,CHEMBL3401,2400.0,nM,EC50,True,5.619788758288394
CHEMBL4303308,5.0,5.0,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1,5.0,Agonist activity at human PXR by luciferase reporter assay,CHEMBL5682682,CHEMBL3401,10000.0,nM,XC50,True,5.0
CHEMBL4435054,5.3872161432802645,5.3872161432802645,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,5.39,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,4100.0,nM,EC50,True,5.3872161432802645
